FIR_ID,Crime_Type,Date,District,Police_Station,Status
FIR002559,Financial Fraud,09-09-2024,Tumakuru,Whitefield Police Station,Under Investigation
FIR002560,Cyber Fraud,21-08-2025,Shivamogga,Electronic City Police Station,Closed
FIR002561,Robbery,09-06-2023,Bengaluru Rural,Electronic City Police Station,Closed
FIR002562,Cyber Fraud,29-06-2025,Ballari,Hebbal Police Station,Under Investigation
FIR002563,Chain Snatching,17-01-2026,Kalaburagi,Hebbal Police Station,Open
FIR002564,Vehicle Theft,09-11-2023,Bengaluru Rural,Electronic City Police Station,Under Investigation
FIR002565,Vehicle Theft,17-07-2024,Ballari,Koramangala Police Station,Under Investigation
FIR002566,Vehicle Theft,24-07-2023,Mangaluru,Koramangala Police Station,Closed
FIR002567,Assault,03-12-2023,Mangaluru,Koramangala Police Station,Open
FIR002568,Vehicle Theft,01-08-2023,Bengaluru Rural,Indiranagar Police Station,Open
FIR002569,Drug Trafficking,19-04-2026,Kalaburagi,Hebbal Police Station,Open
FIR002570,House Burglary,08-12-2025,Bengaluru Urban,Jayanagar Police Station,Closed
FIR002571,House Burglary,29-10-2025,Belagavi,Indiranagar Police Station,Under Investigation
FIR002572,Financial Fraud,19-03-2025,Ballari,Hebbal Police Station,Closed
FIR002573,Chain Snatching,03-09-2024,Tumakuru,Yelahanka Police Station,Closed
FIR002574,House Burglary,03-01-2024,Mysuru,Whitefield Police Station,Open
FIR002575,House Burglary,08-10-2024,Kalaburagi,Marathahalli Police Station,Closed
FIR002576,Vehicle Theft,04-03-2026,Tumakuru,Koramangala Police Station,Open
FIR002577,Chain Snatching,27-06-2025,Bengaluru Rural,Hebbal Police Station,Under Investigation
FIR002578,House Burglary,25-12-2024,Kalaburagi,Koramangala Police Station,Open
FIR002579,House Burglary,28-04-2026,Hubballi-Dharwad,Yelahanka Police Station,Under Investigation
FIR002580,Assault,26-02-2026,Tumakuru,Whitefield Police Station,Closed
FIR002581,Cyber Fraud,22-09-2025,Mangaluru,Marathahalli Police Station,Closed
FIR002582,Cyber Fraud,27-12-2025,Kalaburagi,Yelahanka Police Station,Under Investigation
FIR002583,Financial Fraud,18-03-2026,Tumakuru,Electronic City Police Station,Open
FIR002584,Vehicle Theft,05-08-2024,Belagavi,Yelahanka Police Station,Closed
FIR002585,Assault,05-11-2023,Kalaburagi,Electronic City Police Station,Open
FIR002586,Financial Fraud,16-05-2024,Kalaburagi,Marathahalli Police Station,Closed
FIR002587,Chain Snatching,13-05-2024,Kalaburagi,Koramangala Police Station,Under Investigation
FIR002588,Drug Trafficking,30-06-2023,Bengaluru Rural,Jayanagar Police Station,Open
FIR002589,Chain Snatching,11-11-2023,Mangaluru,Yelahanka Police Station,Open
FIR002590,Robbery,25-07-2024,Hubballi-Dharwad,Whitefield Police Station,Closed
FIR002591,Chain Snatching,26-11-2023,Tumakuru,Whitefield Police Station,Closed
FIR002592,Financial Fraud,07-10-2025,Shivamogga,Indiranagar Police Station,Closed
FIR002593,Robbery,05-05-2025,Hubballi-Dharwad,Electronic City Police Station,Closed
FIR002594,Robbery,30-06-2025,Mysuru,Koramangala Police Station,Under Investigation
FIR002595,Vehicle Theft,20-02-2025,Mysuru,Yelahanka Police Station,Closed
FIR002596,Drug Trafficking,02-09-2023,Bengaluru Urban,Koramangala Police Station,Open
FIR002597,Assault,25-01-2026,Ballari,Yelahanka Police Station,Open
FIR002598,Vehicle Theft,27-04-2025,Belagavi,Electronic City Police Station,Under Investigation
FIR002599,Financial Fraud,13-08-2023,Hubballi-Dharwad,Indiranagar Police Station,Under Investigation
FIR002600,Robbery,23-08-2023,Mangaluru,Whitefield Police Station,Closed
FIR002601,House Burglary,02-01-2025,Belagavi,Yelahanka Police Station,Under Investigation
FIR002602,Drug Trafficking,21-10-2024,Kalaburagi,Jayanagar Police Station,Closed
FIR002603,Robbery,07-08-2025,Hubballi-Dharwad,Electronic City Police Station,Open
FIR002604,Financial Fraud,08-01-2024,Kalaburagi,Koramangala Police Station,Closed
FIR002605,Robbery,29-10-2025,Ballari,Indiranagar Police Station,Open
FIR002606,Financial Fraud,04-02-2024,Belagavi,Jayanagar Police Station,Open
FIR002607,Vehicle Theft,09-05-2025,Bengaluru Rural,Indiranagar Police Station,Under Investigation
FIR002608,Assault,29-03-2025,Shivamogga,Indiranagar Police Station,Under Investigation
FIR002609,Financial Fraud,27-02-2026,Mysuru,Koramangala Police Station,Under Investigation
FIR002610,Cyber Fraud,20-07-2024,Bengaluru Urban,Hebbal Police Station,Under Investigation
FIR002611,Robbery,06-04-2026,Shivamogga,Marathahalli Police Station,Under Investigation
FIR002612,Drug Trafficking,06-08-2024,Mysuru,Electronic City Police Station,Closed
FIR002613,Financial Fraud,09-09-2023,Bengaluru Rural,Hebbal Police Station,Open
FIR002614,Drug Trafficking,11-08-2023,Belagavi,Marathahalli Police Station,Closed
FIR002615,Cyber Fraud,14-11-2023,Mangaluru,Hebbal Police Station,Under Investigation
FIR002616,House Burglary,05-08-2024,Tumakuru,Koramangala Police Station,Closed
FIR002617,House Burglary,11-12-2025,Ballari,Indiranagar Police Station,Under Investigation
FIR002618,Assault,14-08-2023,Tumakuru,Marathahalli Police Station,Closed
FIR002619,Cyber Fraud,27-03-2024,Hubballi-Dharwad,Jayanagar Police Station,Under Investigation
FIR002620,Vehicle Theft,02-04-2024,Tumakuru,Koramangala Police Station,Closed
FIR002621,Vehicle Theft,29-12-2024,Kalaburagi,Yelahanka Police Station,Under Investigation
FIR002622,Financial Fraud,01-07-2024,Kalaburagi,Koramangala Police Station,Open
FIR002623,Drug Trafficking,08-02-2025,Hubballi-Dharwad,Marathahalli Police Station,Under Investigation
FIR002624,Robbery,09-10-2023,Ballari,Whitefield Police Station,Open
FIR002625,House Burglary,04-03-2024,Mysuru,Whitefield Police Station,Under Investigation
FIR002626,Cyber Fraud,03-04-2024,Mangaluru,Electronic City Police Station,Closed
FIR002627,Vehicle Theft,30-12-2025,Bengaluru Rural,Jayanagar Police Station,Under Investigation
FIR002628,Assault,19-08-2025,Belagavi,Electronic City Police Station,Closed
FIR002629,Assault,18-02-2024,Bengaluru Rural,Whitefield Police Station,Closed
FIR002630,Cyber Fraud,22-11-2025,Tumakuru,Yelahanka Police Station,Closed
FIR002631,House Burglary,03-09-2023,Tumakuru,Whitefield Police Station,Closed
FIR002632,Cyber Fraud,28-11-2024,Bengaluru Rural,Jayanagar Police Station,Under Investigation
FIR002633,Chain Snatching,19-10-2025,Belagavi,Yelahanka Police Station,Under Investigation
FIR002634,Drug Trafficking,27-09-2025,Belagavi,Koramangala Police Station,Closed
FIR002635,Financial Fraud,25-06-2024,Hubballi-Dharwad,Hebbal Police Station,Under Investigation
FIR002636,Chain Snatching,26-07-2024,Mangaluru,Marathahalli Police Station,Open
FIR002637,Drug Trafficking,06-01-2025,Tumakuru,Whitefield Police Station,Closed
FIR002638,House Burglary,23-12-2024,Bengaluru Urban,Koramangala Police Station,Closed
FIR002639,Vehicle Theft,29-07-2023,Mysuru,Yelahanka Police Station,Open
FIR002640,Financial Fraud,16-09-2025,Ballari,Marathahalli Police Station,Closed
FIR002641,Drug Trafficking,04-01-2025,Bengaluru Urban,Yelahanka Police Station,Closed
FIR002642,House Burglary,14-02-2026,Tumakuru,Indiranagar Police Station,Under Investigation
FIR002643,Financial Fraud,07-12-2024,Mysuru,Koramangala Police Station,Open
FIR002644,Robbery,13-03-2026,Ballari,Hebbal Police Station,Closed
FIR002645,Vehicle Theft,30-05-2026,Mangaluru,Electronic City Police Station,Closed
FIR002646,Financial Fraud,24-09-2024,Tumakuru,Hebbal Police Station,Open
FIR002647,Vehicle Theft,21-07-2023,Mangaluru,Hebbal Police Station,Under Investigation
FIR002648,Chain Snatching,22-09-2025,Mangaluru,Electronic City Police Station,Open
FIR002649,Assault,09-06-2024,Mangaluru,Electronic City Police Station,Under Investigation
FIR002650,Robbery,12-09-2023,Mysuru,Koramangala Police Station,Open
FIR002651,Cyber Fraud,20-09-2024,Kalaburagi,Electronic City Police Station,Under Investigation
FIR002652,Cyber Fraud,15-08-2025,Kalaburagi,Jayanagar Police Station,Closed
FIR002653,Assault,14-06-2024,Mysuru,Whitefield Police Station,Open
FIR002654,House Burglary,03-01-2025,Hubballi-Dharwad,Hebbal Police Station,Closed
FIR002655,Financial Fraud,17-09-2025,Hubballi-Dharwad,Whitefield Police Station,Closed
FIR002656,Vehicle Theft,21-07-2025,Ballari,Koramangala Police Station,Open
FIR002657,Vehicle Theft,27-01-2024,Hubballi-Dharwad,Hebbal Police Station,Open
FIR002658,Financial Fraud,05-03-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR002659,Robbery,19-12-2025,Bengaluru Rural,Marathahalli Police Station,Open
FIR002660,Financial Fraud,12-08-2023,Ballari,Whitefield Police Station,Open
FIR002661,Cyber Fraud,17-04-2026,Bengaluru Urban,Whitefield Police Station,Closed
FIR002662,Robbery,09-05-2024,Kalaburagi,Marathahalli Police Station,Open
FIR002663,Cyber Fraud,31-01-2024,Hubballi-Dharwad,Jayanagar Police Station,Closed
FIR002664,Chain Snatching,07-07-2024,Ballari,Hebbal Police Station,Open
FIR002665,Drug Trafficking,13-12-2024,Mangaluru,Koramangala Police Station,Open
FIR002666,Assault,08-05-2024,Bengaluru Rural,Yelahanka Police Station,Closed
FIR002667,Financial Fraud,05-07-2024,Tumakuru,Electronic City Police Station,Closed
FIR002668,House Burglary,18-08-2024,Bengaluru Rural,Hebbal Police Station,Under Investigation
FIR002669,Vehicle Theft,28-08-2023,Ballari,Koramangala Police Station,Under Investigation
FIR002670,Drug Trafficking,05-09-2025,Mangaluru,Indiranagar Police Station,Open
FIR002671,Chain Snatching,08-01-2026,Bengaluru Urban,Marathahalli Police Station,Open
FIR002672,Robbery,18-10-2023,Mangaluru,Hebbal Police Station,Closed
FIR002673,House Burglary,17-12-2025,Kalaburagi,Whitefield Police Station,Open
FIR002674,Assault,13-07-2025,Mangaluru,Jayanagar Police Station,Open
FIR002675,Drug Trafficking,05-09-2024,Bengaluru Rural,Indiranagar Police Station,Closed
FIR002676,House Burglary,10-06-2024,Shivamogga,Marathahalli Police Station,Closed
FIR002677,Cyber Fraud,12-02-2025,Hubballi-Dharwad,Indiranagar Police Station,Under Investigation
FIR002678,Vehicle Theft,05-06-2023,Mangaluru,Koramangala Police Station,Under Investigation
FIR002679,Assault,09-12-2024,Ballari,Yelahanka Police Station,Closed
FIR002680,Cyber Fraud,27-09-2024,Belagavi,Yelahanka Police Station,Closed
FIR002681,Cyber Fraud,30-12-2024,Bengaluru Rural,Hebbal Police Station,Open
FIR002682,Cyber Fraud,23-05-2025,Bengaluru Rural,Electronic City Police Station,Open
FIR002683,Drug Trafficking,22-07-2025,Mangaluru,Marathahalli Police Station,Closed
FIR002684,Drug Trafficking,17-05-2025,Shivamogga,Marathahalli Police Station,Closed
FIR002685,Cyber Fraud,06-07-2023,Ballari,Koramangala Police Station,Closed
FIR002686,Assault,24-02-2025,Hubballi-Dharwad,Hebbal Police Station,Closed
FIR002687,Financial Fraud,27-03-2026,Ballari,Whitefield Police Station,Under Investigation
FIR002688,House Burglary,07-07-2023,Hubballi-Dharwad,Whitefield Police Station,Closed
FIR002689,Assault,27-02-2024,Kalaburagi,Indiranagar Police Station,Closed
FIR002690,Drug Trafficking,07-12-2025,Bengaluru Rural,Whitefield Police Station,Under Investigation
FIR002691,House Burglary,12-03-2024,Kalaburagi,Jayanagar Police Station,Closed
FIR002692,Financial Fraud,12-11-2023,Kalaburagi,Electronic City Police Station,Open
FIR002693,House Burglary,22-03-2024,Belagavi,Jayanagar Police Station,Under Investigation
FIR002694,Robbery,10-06-2024,Mysuru,Indiranagar Police Station,Open
FIR002695,Robbery,15-07-2023,Hubballi-Dharwad,Yelahanka Police Station,Closed
FIR002696,Financial Fraud,05-02-2026,Hubballi-Dharwad,Koramangala Police Station,Under Investigation
FIR002697,Cyber Fraud,29-03-2026,Ballari,Marathahalli Police Station,Open
FIR002698,Drug Trafficking,02-08-2023,Bengaluru Rural,Electronic City Police Station,Under Investigation
FIR002699,Chain Snatching,30-03-2026,Mangaluru,Yelahanka Police Station,Open
FIR002700,Chain Snatching,29-03-2025,Ballari,Whitefield Police Station,Under Investigation
FIR002701,Chain Snatching,04-08-2024,Hubballi-Dharwad,Hebbal Police Station,Open
FIR002702,Vehicle Theft,25-09-2025,Belagavi,Marathahalli Police Station,Under Investigation
FIR002703,Cyber Fraud,23-08-2024,Kalaburagi,Whitefield Police Station,Open
FIR002704,Drug Trafficking,03-09-2023,Shivamogga,Electronic City Police Station,Closed
FIR002705,Drug Trafficking,16-02-2024,Mysuru,Hebbal Police Station,Closed
FIR002706,Cyber Fraud,25-09-2025,Shivamogga,Electronic City Police Station,Under Investigation
FIR002707,Robbery,10-01-2025,Bengaluru Urban,Indiranagar Police Station,Closed
FIR002708,Financial Fraud,26-11-2023,Tumakuru,Jayanagar Police Station,Closed
FIR002709,Robbery,08-04-2026,Kalaburagi,Electronic City Police Station,Closed
FIR002710,Chain Snatching,06-06-2024,Shivamogga,Whitefield Police Station,Closed
FIR002711,Assault,15-10-2025,Kalaburagi,Koramangala Police Station,Open
FIR002712,Robbery,13-10-2023,Bengaluru Urban,Yelahanka Police Station,Under Investigation
FIR002713,Vehicle Theft,07-11-2025,Bengaluru Rural,Koramangala Police Station,Under Investigation
FIR002714,Financial Fraud,15-03-2024,Bengaluru Rural,Electronic City Police Station,Under Investigation
FIR002715,Robbery,19-10-2023,Mysuru,Koramangala Police Station,Closed
FIR002716,Assault,12-08-2024,Kalaburagi,Hebbal Police Station,Closed
FIR002717,House Burglary,08-10-2025,Shivamogga,Koramangala Police Station,Closed
FIR002718,Chain Snatching,01-05-2026,Bengaluru Rural,Marathahalli Police Station,Under Investigation
FIR002719,Cyber Fraud,15-05-2025,Hubballi-Dharwad,Marathahalli Police Station,Closed
FIR002720,Assault,09-12-2025,Mangaluru,Marathahalli Police Station,Under Investigation
FIR002721,Assault,16-06-2024,Mysuru,Jayanagar Police Station,Open
FIR002722,Vehicle Theft,25-02-2026,Belagavi,Whitefield Police Station,Under Investigation
FIR002723,Financial Fraud,11-06-2025,Shivamogga,Yelahanka Police Station,Under Investigation
FIR002724,Robbery,16-06-2023,Mysuru,Indiranagar Police Station,Under Investigation
FIR002725,Robbery,02-07-2023,Bengaluru Rural,Electronic City Police Station,Closed
FIR002726,Robbery,30-07-2023,Ballari,Yelahanka Police Station,Open
FIR002727,Assault,27-03-2025,Tumakuru,Marathahalli Police Station,Closed
FIR002728,Chain Snatching,12-01-2024,Mysuru,Yelahanka Police Station,Under Investigation
FIR002729,Robbery,08-01-2026,Kalaburagi,Electronic City Police Station,Closed
FIR002730,Chain Snatching,18-05-2026,Shivamogga,Marathahalli Police Station,Open
FIR002731,Vehicle Theft,03-09-2024,Ballari,Whitefield Police Station,Under Investigation
FIR002732,Robbery,16-02-2025,Tumakuru,Hebbal Police Station,Closed
FIR002733,Financial Fraud,15-10-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR002734,Assault,26-07-2024,Bengaluru Rural,Hebbal Police Station,Open
FIR002735,Chain Snatching,11-09-2025,Kalaburagi,Indiranagar Police Station,Closed
FIR002736,Chain Snatching,01-04-2024,Mysuru,Jayanagar Police Station,Closed
FIR002737,Assault,24-08-2025,Kalaburagi,Koramangala Police Station,Under Investigation
FIR002738,House Burglary,03-11-2024,Tumakuru,Hebbal Police Station,Under Investigation
FIR002739,Financial Fraud,12-01-2026,Bengaluru Rural,Koramangala Police Station,Under Investigation
FIR002740,Robbery,19-11-2025,Bengaluru Urban,Yelahanka Police Station,Closed
FIR002741,Financial Fraud,23-06-2025,Ballari,Whitefield Police Station,Under Investigation
FIR002742,Cyber Fraud,10-04-2024,Shivamogga,Whitefield Police Station,Closed
FIR002743,Financial Fraud,21-07-2024,Mysuru,Marathahalli Police Station,Closed
FIR002744,Assault,08-11-2023,Mangaluru,Hebbal Police Station,Open
FIR002745,Financial Fraud,12-04-2025,Belagavi,Jayanagar Police Station,Closed
FIR002746,Robbery,07-06-2023,Shivamogga,Marathahalli Police Station,Closed
FIR002747,Chain Snatching,28-01-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR002748,Assault,01-10-2023,Belagavi,Jayanagar Police Station,Closed
FIR002749,Drug Trafficking,14-08-2025,Ballari,Yelahanka Police Station,Closed
FIR002750,Cyber Fraud,09-11-2025,Kalaburagi,Marathahalli Police Station,Open
FIR002751,Robbery,29-08-2023,Bengaluru Rural,Hebbal Police Station,Open
FIR002752,Chain Snatching,07-08-2023,Ballari,Electronic City Police Station,Under Investigation
FIR002753,Vehicle Theft,27-10-2025,Ballari,Koramangala Police Station,Open
FIR002754,House Burglary,03-02-2024,Shivamogga,Jayanagar Police Station,Under Investigation
FIR002755,Robbery,12-02-2024,Ballari,Whitefield Police Station,Closed
FIR002756,Assault,22-11-2023,Hubballi-Dharwad,Electronic City Police Station,Open
FIR002757,Cyber Fraud,02-11-2023,Bengaluru Rural,Indiranagar Police Station,Open
FIR002758,Robbery,27-09-2025,Shivamogga,Yelahanka Police Station,Open
FIR002759,Drug Trafficking,28-04-2026,Kalaburagi,Marathahalli Police Station,Open
FIR002760,Drug Trafficking,28-03-2025,Tumakuru,Koramangala Police Station,Open
FIR002761,Drug Trafficking,12-08-2024,Ballari,Yelahanka Police Station,Closed
FIR002762,Chain Snatching,15-11-2023,Mysuru,Indiranagar Police Station,Under Investigation
FIR002763,Financial Fraud,05-08-2023,Kalaburagi,Electronic City Police Station,Closed
FIR002764,Chain Snatching,29-09-2023,Kalaburagi,Whitefield Police Station,Open
FIR002765,Assault,04-12-2023,Mysuru,Electronic City Police Station,Closed
FIR002766,Cyber Fraud,20-01-2026,Bengaluru Urban,Koramangala Police Station,Under Investigation
FIR002767,Assault,03-03-2024,Mysuru,Electronic City Police Station,Closed
FIR002768,Cyber Fraud,24-03-2025,Mysuru,Jayanagar Police Station,Closed
FIR002769,House Burglary,20-03-2024,Tumakuru,Indiranagar Police Station,Open
FIR002770,House Burglary,17-05-2024,Belagavi,Koramangala Police Station,Open
FIR002771,House Burglary,26-01-2024,Mangaluru,Hebbal Police Station,Under Investigation
FIR002772,House Burglary,26-05-2026,Kalaburagi,Hebbal Police Station,Under Investigation
FIR002773,Assault,10-09-2025,Bengaluru Rural,Indiranagar Police Station,Under Investigation
FIR002774,Assault,04-08-2025,Tumakuru,Jayanagar Police Station,Closed
FIR002775,Financial Fraud,16-07-2024,Belagavi,Whitefield Police Station,Closed
FIR002776,Financial Fraud,18-08-2025,Hubballi-Dharwad,Jayanagar Police Station,Under Investigation
FIR002777,Assault,26-05-2025,Ballari,Hebbal Police Station,Under Investigation
FIR002778,Cyber Fraud,11-12-2024,Belagavi,Jayanagar Police Station,Under Investigation
FIR002779,Vehicle Theft,19-06-2025,Ballari,Hebbal Police Station,Open
FIR002780,Assault,27-09-2024,Ballari,Marathahalli Police Station,Open
FIR002781,Cyber Fraud,31-07-2025,Bengaluru Urban,Whitefield Police Station,Closed
FIR002782,Chain Snatching,20-07-2025,Bengaluru Urban,Koramangala Police Station,Under Investigation
FIR002783,Assault,31-03-2024,Shivamogga,Marathahalli Police Station,Closed
FIR002784,Chain Snatching,01-01-2026,Kalaburagi,Marathahalli Police Station,Open
FIR002785,Robbery,02-02-2024,Belagavi,Marathahalli Police Station,Closed
FIR002786,Financial Fraud,20-02-2024,Kalaburagi,Hebbal Police Station,Under Investigation
FIR002787,Cyber Fraud,17-12-2025,Hubballi-Dharwad,Jayanagar Police Station,Under Investigation
FIR002788,House Burglary,16-05-2026,Belagavi,Indiranagar Police Station,Closed
FIR002789,Robbery,03-05-2025,Mysuru,Indiranagar Police Station,Open
FIR002790,Vehicle Theft,13-03-2026,Mysuru,Electronic City Police Station,Under Investigation
FIR002791,Cyber Fraud,28-03-2025,Ballari,Koramangala Police Station,Under Investigation
FIR002792,Cyber Fraud,15-09-2023,Kalaburagi,Yelahanka Police Station,Open
FIR002793,Vehicle Theft,14-02-2025,Ballari,Yelahanka Police Station,Under Investigation
FIR002794,Vehicle Theft,23-04-2024,Mangaluru,Marathahalli Police Station,Closed
FIR002795,Chain Snatching,13-01-2024,Belagavi,Whitefield Police Station,Closed
FIR002796,Cyber Fraud,03-11-2024,Kalaburagi,Koramangala Police Station,Open
FIR002797,Vehicle Theft,23-05-2025,Ballari,Electronic City Police Station,Closed
FIR002798,Cyber Fraud,07-09-2023,Kalaburagi,Jayanagar Police Station,Under Investigation
FIR002799,Vehicle Theft,12-02-2026,Belagavi,Yelahanka Police Station,Closed
FIR002800,Vehicle Theft,13-10-2023,Mangaluru,Electronic City Police Station,Under Investigation
FIR002801,Robbery,25-10-2025,Bengaluru Rural,Koramangala Police Station,Open
FIR002802,Assault,10-08-2023,Ballari,Electronic City Police Station,Under Investigation
FIR002803,Vehicle Theft,09-06-2025,Tumakuru,Indiranagar Police Station,Under Investigation
FIR002804,Robbery,14-12-2024,Tumakuru,Koramangala Police Station,Closed
FIR002805,Financial Fraud,28-09-2024,Ballari,Koramangala Police Station,Closed
FIR002806,Chain Snatching,24-09-2023,Kalaburagi,Hebbal Police Station,Open
FIR002807,Vehicle Theft,14-08-2023,Tumakuru,Yelahanka Police Station,Closed
FIR002808,Vehicle Theft,28-03-2024,Mangaluru,Whitefield Police Station,Open
FIR002809,Vehicle Theft,06-06-2025,Belagavi,Jayanagar Police Station,Under Investigation
FIR002810,Cyber Fraud,28-03-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR002811,Drug Trafficking,12-06-2024,Mangaluru,Jayanagar Police Station,Under Investigation
FIR002812,Assault,07-05-2024,Mysuru,Indiranagar Police Station,Under Investigation
FIR002813,House Burglary,29-09-2024,Tumakuru,Electronic City Police Station,Under Investigation
FIR002814,Vehicle Theft,24-09-2025,Hubballi-Dharwad,Indiranagar Police Station,Closed
FIR002815,Chain Snatching,20-04-2026,Mangaluru,Electronic City Police Station,Open
FIR002816,Robbery,28-07-2024,Bengaluru Urban,Koramangala Police Station,Closed
FIR002817,Cyber Fraud,23-09-2023,Mysuru,Electronic City Police Station,Open
FIR002818,Financial Fraud,14-04-2025,Hubballi-Dharwad,Whitefield Police Station,Open
FIR002819,House Burglary,28-03-2024,Bengaluru Urban,Jayanagar Police Station,Open
FIR002820,House Burglary,09-03-2024,Bengaluru Urban,Koramangala Police Station,Under Investigation
FIR002821,Cyber Fraud,02-09-2023,Ballari,Hebbal Police Station,Under Investigation
FIR002822,House Burglary,23-12-2024,Shivamogga,Hebbal Police Station,Closed
FIR002823,Assault,08-04-2025,Bengaluru Urban,Jayanagar Police Station,Open
FIR002824,Vehicle Theft,01-01-2024,Shivamogga,Marathahalli Police Station,Closed
FIR002825,Drug Trafficking,27-08-2024,Tumakuru,Jayanagar Police Station,Closed
FIR002826,Cyber Fraud,01-09-2025,Tumakuru,Indiranagar Police Station,Closed
FIR002827,Assault,06-12-2024,Shivamogga,Hebbal Police Station,Closed
FIR002828,Chain Snatching,07-09-2023,Belagavi,Yelahanka Police Station,Under Investigation
FIR002829,House Burglary,21-11-2024,Bengaluru Rural,Electronic City Police Station,Under Investigation
FIR002830,Assault,23-05-2026,Mysuru,Hebbal Police Station,Open
FIR002831,Cyber Fraud,19-01-2025,Belagavi,Koramangala Police Station,Closed
FIR002832,Assault,02-08-2025,Mysuru,Hebbal Police Station,Open
FIR002833,Robbery,09-03-2024,Tumakuru,Hebbal Police Station,Closed
FIR002834,Drug Trafficking,08-03-2025,Bengaluru Rural,Hebbal Police Station,Open
FIR002835,House Burglary,29-09-2025,Shivamogga,Jayanagar Police Station,Under Investigation
FIR002836,Chain Snatching,15-04-2026,Kalaburagi,Hebbal Police Station,Under Investigation
FIR002837,Chain Snatching,14-09-2025,Tumakuru,Marathahalli Police Station,Closed
FIR002838,House Burglary,07-07-2024,Ballari,Koramangala Police Station,Under Investigation
FIR002839,House Burglary,15-09-2023,Belagavi,Whitefield Police Station,Closed
FIR002840,Vehicle Theft,01-05-2024,Kalaburagi,Yelahanka Police Station,Under Investigation
FIR002841,House Burglary,27-11-2025,Shivamogga,Jayanagar Police Station,Closed
FIR002842,Robbery,18-11-2023,Kalaburagi,Indiranagar Police Station,Open
FIR002843,Financial Fraud,17-02-2026,Ballari,Electronic City Police Station,Closed
FIR002844,Vehicle Theft,05-06-2024,Bengaluru Urban,Indiranagar Police Station,Open
FIR002845,Vehicle Theft,17-03-2024,Belagavi,Koramangala Police Station,Closed
FIR002846,Drug Trafficking,10-10-2025,Mangaluru,Jayanagar Police Station,Closed
FIR002847,Cyber Fraud,29-08-2025,Mangaluru,Whitefield Police Station,Under Investigation
FIR002848,Assault,29-06-2025,Bengaluru Urban,Electronic City Police Station,Closed
FIR002849,Chain Snatching,02-10-2024,Belagavi,Jayanagar Police Station,Open
FIR002850,Drug Trafficking,04-07-2024,Mysuru,Indiranagar Police Station,Closed
FIR002851,House Burglary,28-06-2025,Ballari,Indiranagar Police Station,Closed
FIR002852,Chain Snatching,16-04-2026,Mysuru,Electronic City Police Station,Open
FIR002853,Financial Fraud,29-07-2025,Mysuru,Koramangala Police Station,Closed
FIR002854,Robbery,04-08-2025,Ballari,Marathahalli Police Station,Closed
FIR002855,Chain Snatching,15-03-2025,Bengaluru Urban,Whitefield Police Station,Closed
FIR002856,Chain Snatching,27-01-2026,Mysuru,Koramangala Police Station,Open
FIR002857,Cyber Fraud,23-06-2023,Mangaluru,Whitefield Police Station,Under Investigation
FIR002858,Drug Trafficking,11-09-2023,Mysuru,Yelahanka Police Station,Under Investigation
FIR002859,Chain Snatching,16-01-2024,Bengaluru Urban,Marathahalli Police Station,Under Investigation
FIR002860,Chain Snatching,19-06-2023,Tumakuru,Electronic City Police Station,Under Investigation
FIR002861,Financial Fraud,17-06-2024,Kalaburagi,Electronic City Police Station,Closed
FIR002862,Chain Snatching,02-01-2025,Bengaluru Urban,Indiranagar Police Station,Under Investigation
FIR002863,Cyber Fraud,26-02-2025,Tumakuru,Whitefield Police Station,Under Investigation
FIR002864,Drug Trafficking,28-02-2025,Tumakuru,Marathahalli Police Station,Closed
FIR002865,Robbery,21-06-2023,Belagavi,Whitefield Police Station,Under Investigation
FIR002866,Chain Snatching,16-04-2024,Mangaluru,Electronic City Police Station,Under Investigation
FIR002867,Cyber Fraud,23-01-2025,Mysuru,Electronic City Police Station,Under Investigation
FIR002868,Financial Fraud,05-12-2024,Tumakuru,Whitefield Police Station,Closed
FIR002869,Drug Trafficking,14-08-2025,Tumakuru,Electronic City Police Station,Closed
FIR002870,Robbery,25-07-2025,Hubballi-Dharwad,Marathahalli Police Station,Closed
FIR002871,Chain Snatching,21-07-2023,Mangaluru,Yelahanka Police Station,Under Investigation
FIR002872,Chain Snatching,15-04-2025,Belagavi,Marathahalli Police Station,Closed
FIR002873,House Burglary,25-02-2025,Mangaluru,Koramangala Police Station,Under Investigation
FIR002874,Chain Snatching,14-12-2023,Belagavi,Electronic City Police Station,Under Investigation
FIR002875,House Burglary,09-09-2025,Bengaluru Urban,Koramangala Police Station,Under Investigation
FIR002876,House Burglary,06-03-2026,Bengaluru Urban,Hebbal Police Station,Closed
FIR002877,Drug Trafficking,10-07-2024,Bengaluru Rural,Hebbal Police Station,Closed
FIR002878,Assault,20-05-2025,Bengaluru Urban,Jayanagar Police Station,Closed
FIR002879,Chain Snatching,08-06-2025,Shivamogga,Indiranagar Police Station,Under Investigation
FIR002880,House Burglary,19-06-2024,Tumakuru,Jayanagar Police Station,Closed
FIR002881,Vehicle Theft,26-06-2024,Belagavi,Hebbal Police Station,Open
FIR002882,Robbery,06-09-2025,Tumakuru,Marathahalli Police Station,Open
